"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLDM","10 Grams","23-MAR-2026","1,35,403.00","1,35,263.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23032026_2.xlsx"
"GOLDM","10 Grams","20-MAR-2026","1,46,869.00","1,46,698.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20032026_2.xlsx"
"GOLDM","10 Grams","19-MAR-2026","1,51,089.00","1,47,431.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19032026_2.xlsx"
"GOLDM","10 Grams","18-MAR-2026","1,55,174.00","1,54,993.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18032026_2.xlsx"
"GOLDM","10 Grams","17-MAR-2026","1,55,680.00","1,55,341.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17032026_2.xlsx"
"GOLDM","10 Grams","16-MAR-2026","1,55,945.00","1,54,560.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16032026_2.xlsx"
"GOLDM","10 Grams","13-MAR-2026","1,57,955.00","1,58,263.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13032026_2.xlsx"
"GOLDM","10 Grams","12-MAR-2026","1,59,371.00","1,60,054.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12032026_2.xlsx"
"GOLDM","10 Grams","11-MAR-2026","1,60,493.00","1,60,074.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11032026_2.xlsx"
"GOLDM","10 Grams","10-MAR-2026","1,60,278.00","1,60,127.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10032026_2.xlsx"
"GOLDM","10 Grams","09-MAR-2026","1,59,410.00","1,58,926.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09032026_2.xlsx"
"GOLDM","10 Grams","06-MAR-2026","1,58,782.00","1,57,954.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06032026_2.xlsx"
"GOLDM","10 Grams","05-MAR-2026","1,59,431.00","1,59,910.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05032026_2.xlsx"
"GOLDM","10 Grams","04-MAR-2026","1,67,104.00","1,67,104.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04032026_2.xlsx"
"GOLDM","10 Grams","02-MAR-2026","1,66,438.00","1,67,104.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02032026_2.xlsx"
"GOLDM","10 Grams","27-FEB-2026","1,58,791.00","1,58,441.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27022026_2.xlsx"
"GOLDM","10 Grams","26-FEB-2026","1,58,524.00","1,57,694.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_26022026_2.xlsx"
"GOLDM","10 Grams","25-FEB-2026","1,59,374.00","1,58,855.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_25022026_2.xlsx"
"GOLDM","10 Grams","24-FEB-2026","1,58,791.00","1,58,727.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24022026_2.xlsx"
"GOLDM","10 Grams","23-FEB-2026","1,57,873.00","1,57,705.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23022026_2.xlsx"
"GOLDM","10 Grams","20-FEB-2026","1,54,223.00","1,54,569.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20022026_2.xlsx"
"GOLDM","10 Grams","19-FEB-2026","1,54,320.00","1,54,016.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19022026_2.xlsx"
"GOLDM","10 Grams","18-FEB-2026","1,51,579.00","1,51,144.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18022026_2.xlsx"
"GOLDM","10 Grams","17-FEB-2026","1,50,676.00","1,51,485.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17022026_2.xlsx"
